,Game ID,Player 1,Player 2,Player 1 Type,Player 2 Type,Winner
0,1,Bot 1,Bot 2,Bot,Bot,Bot 1
1,2,Bot 1,Bot 2,Bot,Bot,Bot 1
2,3,Harry,Bot 2,Human,Bot,Harry
3,4,Harry,Jason,Human,Human,Harry
4,5,Jack,Jason,Human,Human,Jack
5,6,Jason,Jack,Human,Human,Jack
6,7,Jason,Bot 2,Human,Bot,Jason
7,8,Jack,Bot 2,Human,Bot,Bot 2
8,9,Bot 1,Bot 2,Bot,Bot,Bot 1
9,10,Jack,Harry,Human,Human,Harry
10,11,Jason,Jack,Human,Human,Jason
11,12,Jones,Jason,Human,Human,Draw
12,13,Jason,Bot 2,Human,Bot,Bot 2
13,14,Jack,Bot 2,Human,Bot,Bot 2
